block,t_hr,h_B,h_L,h_D,tau,hunger,stage_idx,eligible,w,eta_t,lam,alpha0_hunger,q,fired,choice_idx0,choice_name,duration_blocks,appeal_big_e_cook,eta_k_big_e_cook,cost_big_e_cook,hunger_term_big_e_cook,prob_big_e_cook,appeal_small_e_cook,eta_k_small_e_cook,cost_small_e_cook,hunger_term_small_e_cook,prob_small_e_cook,appeal_quick_e_snack,eta_k_quick_e_snack,cost_quick_e_snack,hunger_term_quick_e_snack,prob_quick_e_snack,appeal_big_wood_cook,eta_k_big_wood_cook,cost_big_wood_cook,hunger_term_big_wood_cook,prob_big_wood_cook,appeal_small_wood,eta_k_small_wood,cost_small_wood,hunger_term_small_wood,prob_small_wood,appeal_cold_no_cook,eta_k_cold_no_cook,cost_cold_no_cook,hunger_term_cold_no_cook,prob_cold_no_cook
67,5.5833,0,0,0,5.58333333333333,0.2791666666666665,0,True,-2.817140799860502,0.0,0.0,0.11166666666666661,0.009397666755422788,True,3.0,big_wood_cook,13.0,0.3494211403367493,0.0,-0.40924653675492684,0.22333333333333322,0.1938407160324517,0.22444424977632726,0.0,-0.16369861470197072,0.0,0.17491050945710188,0.17342518708729382,0.0,-0.05456620490065692,0.0,0.18537630045658657,-0.3241332923634561,0.0,-0.0,0.22333333333333322,0.14881871308796646,-0.24461353459903493,0.0,-0.0,0.0,0.1288843252923388,0.021443183316919592,0.0,-0.0,0.0,0.16816943567355458
68,5.6667,4,0,0,0.0,0.0,0,False,-2.588213909181987,0.0,0.0,0.0,0.010485122378054245,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,5.75,4,0,0,0.08333333333333333,0.004166666666666667,0,False,-2.354083070403227,0.0,0.0,0.0016666666666666668,0.013031084303761167,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,5.8333,4,0,0,0.16666666666666666,0.008333333333333333,0,False,-2.115880706405164,0.0,0.0,0.0033333333333333335,0.016182487683488265,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,5.9167,4,0,0,0.25,0.0125,0,False,-1.8748531171592884,0.0,0.0,0.005000000000000001,0.020033807852456256,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,6.0,4,0,0,0.3333333333333333,0.016666666666666666,0,False,-1.6323518874648095,0.0,0.0,0.006666666666666667,0.024663345060297198,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,6.0833,4,0,0,0.41666666666666663,0.020833333333333332,0,False,-1.3898230411429595,0.0,0.0,0.008333333333333333,0.030115477906690752,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,6.1667,4,0,0,0.49999999999999994,0.024999999999999998,0,False,-1.1487940021348506,0.0,0.0,0.01,0.036381277869001756,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,6.25,4,0,0,0.5833333333333333,0.029166666666666664,0,False,-0.9108584743502073,0.0,0.0,0.011666666666666665,0.04338249141831842,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,6.3333,4,0,0,0.6666666666666666,0.03333333333333333,0,False,-0.6776594036406008,0.0,0.0,0.013333333333333334,0.050965273567779176,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
